year,week,SMN,SMT,VCI,TCI,VHI
1982,1,0.053,260.31,45.01,39.46,42.23
1982,2,0.054,262.29,46.83,31.75,39.29
1982,3,0.055,263.82,48.13,27.24,37.68
1982,4,0.053,265.33,46.09,23.91,35.00
1982,5,0.050,265.66,41.46,26.65,34.06
1982,6,0.048,266.55,36.56,29.46,33.01
1982,7,0.048,267.84,32.17,31.14,31.65
1982,8,0.050,269.30,30.30,32.50,31.40
1982,9,0.052,270.75,28.23,35.22,31.73
1982,10,0.056,272.73,25.25,37.63,31.44
1982,11,0.069,275.46,26.81,34.79,30.80
1982,12,0.085,278.05,27.87,35.91,31.89
1982,13,0.096,279.89,26.45,40.30,33.37
1982,14,0.109,281.55,22.93,45.47,34.20
1982,15,0.120,282.57,16.15,59.42,37.78
1982,16,0.145,284.04,13.92,73.70,43.81
1982,17,0.180,286.05,15.91,83.78,49.85
1982,18,0.236,288.73,25.98,83.95,54.97
1982,19,0.292,291.42,34.53,77.20,55.86
